selling_price,km_driven,fuel,seller_type,transmission,owner,age,brand
400000,120000,Diesel,Individual,Manual,Third Owner,14,Chevrolet
1000000,3600,Diesel,Dealer,Manual,First Owner,11,Chevrolet
530000,14272,Petrol,Dealer,Manual,First Owner,11,Ford
840000,49213,Diesel,Dealer,Manual,First Owner,9,Ford
229999,40000,Petrol,Individual,Manual,First Owner,11,Hyundai
130000,80000,Petrol,Individual,Manual,First Owner,14,Chevrolet
200000,70000,Petrol,Individual,Manual,First Owner,11,Hyundai
120000,70000,Diesel,Individual,Manual,First Owner,15,Tata
75000,57000,Petrol,Individual,Manual,First Owner,23,Hyundai
250000,120000,Diesel,Individual,Manual,First Owner,10,Tata
100000,30000,Petrol,Individual,Manual,First Owner,21,Maruti
280000,3240,Petrol,Individual,Manual,Second Owner,13,Hyundai
540000,5000,Petrol,Individual,Manual,First Owner,11,Hyundai
700000,10000,Petrol,Individual,Manual,First Owner,8,Hyundai
525000,100000,Diesel,Individual,Manual,First Owner,11,Maruti
430000,80000,Diesel,Individual,Manual,First Owner,10,Hyundai
65000,70000,Petrol,Individual,Manual,First Owner,24,Hyundai
800000,35000,Diesel,Individual,Manual,First Owner,8,Maruti
75000,114000,Petrol,Individual,Manual,Second Owner,19,Hyundai
210000,53772,Petrol,Individual,Manual,First Owner,18,Hyundai
195000,140000,Diesel,Individual,Manual,Second Owner,14,Mahindra
400000,120000,Diesel,Individual,Manual,First Owner,11,Chevrolet
170000,60000,Petrol,Individual,Manual,First Owner,14,Hyundai
225000,25000,Petrol,Individual,Manual,First Owner,10,Renault
210000,90000,LPG,Individual,Manual,First Owner,12,Maruti
240000,120000,Petrol,Individual,Manual,First Owner,6,Maruti
300000,175000,Diesel,Individual,Manual,First Owner,11,Chevrolet
99000,100000,Petrol,Individual,Manual,Third Owner,15,Chevrolet
620000,36000,Petrol,Individual,Manual,First Owner,12,Honda
500000,30000,Diesel,Individual,Manual,First Owner,13,Honda
2550000,40000,Petrol,Individual,Automatic,Second Owner,16,Other
260000,70000,Petrol,Individual,Manual,Second Owner,13,Honda
550000,60000,Petrol,Individual,Manual,First Owner,9,Maruti
150000,155500,Diesel,Individual,Manual,First Owner,15,Tata
350000,50000,Petrol,Individual,Automatic,Second Owner,15,Hyundai
320000,40000,Petrol,Individual,Manual,First Owner,10,Chevrolet
400000,100000,Diesel,Individual,Manual,Third Owner,11,Maruti
175000,80000,Petrol,Individual,Manual,Third Owner,14,Maruti
120000,90000,Petrol,Individual,Manual,Second Owner,15,Chevrolet
320000,90000,Diesel,Individual,Manual,Second Owner,13,Renault
70000,110000,Petrol,Individual,Manual,Third Owner,20,Hyundai
810000,15000,Petrol,Individual,Manual,First Owner,7,Maruti
95000,100000,Petrol,Individual,Manual,Second Owner,19,Maruti
282000,40000,CNG,Individual,Manual,First Owner,6,Maruti
80000,60000,Petrol,Individual,Manual,Second Owner,22,Maruti
72000,25000,Petrol,Individual,Manual,First Owner,13,Tata
600000,25000,Petrol,Individual,Manual,First Owner,10,Hyundai
640000,23000,Petrol,Individual,Manual,First Owner,11,Skoda
380000,22155,Petrol,Individual,Manual,First Owner,8,Maruti
650000,70000,Petrol,Individual,Manual,First Owner,8,Maruti
150000,60000,Petrol,Individual,Manual,Second Owner,17,Maruti
280000,110000,Petrol,Individual,Manual,Second Owner,17,Hyundai
430000,30000,Petrol,Individual,Manual,First Owner,8,Tata
800000,15000,Diesel,Individual,Manual,First Owner,7,Mahindra
75000,100000,Diesel,Individual,Manual,Second Owner,23,Maruti
650000,70000,Diesel,Individual,Automatic,First Owner,10,Volkswagen
390000,24000,Petrol,Individual,Manual,First Owner,9,Maruti
100000,120000,Petrol,Individual,Manual,Second Owner,21,Honda
1500000,35000,Diesel,Individual,Automatic,First Owner,13,Mercedes-Benz
175000,78380,Petrol,Individual,Manual,First Owner,19,Maruti
434999,110000,Diesel,Individual,Manual,Second Owner,14,Renault
170000,90000,Diesel,Individual,Manual,Third Owner,16,Ford
190000,90000,Diesel,Individual,Manual,Third Owner,15,Ford
250000,150000,Diesel,Individual,Manual,Third Owner,17,Maruti
229999,230000,Diesel,Individual,Manual,Third Owner,17,Mahindra
140000,70000,Petrol,Individual,Manual,Third Owner,20,Maruti
600000,80362,Diesel,Individual,Manual,First Owner,9,Maruti
280000,110000,Petrol,Individual,Manual,Third Owner,14,Hyundai
150000,60000,Diesel,Individual,Manual,First Owner,14,Chevrolet
650000,50000,Diesel,Individual,Automatic,First Owner,11,Chevrolet
210000,40000,Petrol,Individual,Manual,Second Owner,12,Nissan
2900000,40000,Diesel,Individual,Automatic,First Owner,9,BMW
425000,20000,Diesel,Dealer,Manual,First Owner,13,Chevrolet
265000,55000,Petrol,Dealer,Manual,First Owner,12,Hyundai
890000,1136,Petrol,Dealer,Manual,First Owner,8,Fiat
365000,55000,Petrol,Dealer,Manual,First Owner,13,Renault
350000,43000,Petrol,Dealer,Manual,First Owner,12,Ford
685000,60000,Diesel,Individual,Manual,First Owner,10,Maruti
940000,2650,Diesel,Dealer,Manual,First Owner,8,Skoda
1000000,40000,Diesel,Individual,Manual,First Owner,9,Mahindra
1150000,15000,Petrol,Dealer,Manual,First Owner,7,Mahindra
450000,115962,Diesel,Individual,Manual,Second Owner,10,Maruti
590000,65000,Diesel,Dealer,Manual,First Owner,11,Nissan
800000,40000,Diesel,Individual,Manual,First Owner,9,Maruti
385000,58000,Diesel,Dealer,Manual,First Owner,14,Hyundai
2000000,15000,Diesel,Individual,Automatic,First Owner,13,Mercedes-Benz
235000,54000,Petrol,Dealer,Manual,First Owner,14,Hyundai
640000,56000,Diesel,Dealer,Manual,First Owner,9,Volkswagen
52000,120000,Petrol,Individual,Manual,Third Owner,20,Maruti
80000,90000,LPG,Individual,Manual,Second Owner,17,Maruti
140000,70000,Petrol,Individual,Manual,Second Owner,14,Maruti
120000,90000,Petrol,Individual,Manual,Second Owner,18,Hyundai
89999,213000,Diesel,Individual,Manual,First Owner,18,Mahindra
180000,120000,Diesel,Individual,Manual,First Owner,14,Chevrolet
1500000,20000,Diesel,Individual,Manual,First Owner,9,Mahindra
700000,10000,Petrol,Individual,Manual,First Owner,9,Hyundai
285000,80000,Diesel,Individual,Manual,Second Owner,14,Maruti
390000,90000,Petrol,Individual,Manual,First Owner,11,Hyundai
125000,80000,Petrol,Individual,Manual,First Owner,18,Maruti
225000,60000,Petrol,Individual,Manual,Second Owner,18,Maruti
175000,139000,Petrol,Individual,Manual,Second Owner,15,Hyundai
1075000,160000,Diesel,Individual,Manual,Second Owner,15,Toyota
300000,150000,Diesel,Individual,Manual,First Owner,12,Honda
700000,163000,Diesel,Individual,Manual,Fourth & Above Owner,16,Toyota
90000,120000,Diesel,Dealer,Manual,First Owner,17,Tata
120000,120000,Diesel,Individual,Manual,Second Owner,15,Tata
220000,100000,Diesel,Individual,Manual,Second Owner,14,Chevrolet
300000,140000,Diesel,Dealer,Manual,First Owner,11,Tata
180000,87000,Diesel,Dealer,Manual,Second Owner,16,Skoda
170000,70000,Petrol,Individual,Manual,First Owner,13,Maruti
300000,50000,Petrol,Individual,Manual,Second Owner,11,Ford
1050000,70000,Diesel,Individual,Manual,First Owner,12,Toyota
465000,25000,Diesel,Individual,Manual,First Owner,8,Hyundai
130000,80000,Diesel,Individual,Manual,Second Owner,15,Chevrolet
434999,10000,Petrol,Individual,Manual,First Owner,8,Datsun
500000,32000,Petrol,Individual,Manual,First Owner,8,Hyundai
200000,10000,Petrol,Individual,Manual,First Owner,8,Maruti
625000,52000,Petrol,Dealer,Manual,First Owner,9,Maruti
110000,120000,Diesel,Individual,Manual,Third Owner,20,Ford
800000,11240,Petrol,Individual,Manual,First Owner,7,Hyundai
490000,66000,Diesel,Dealer,Manual,First Owner,9,Hyundai
880000,64000,Diesel,Dealer,Manual,First Owner,9,Maruti
290000,49000,Petrol,Individual,Manual,First Owner,13,Hyundai
115999,100000,Diesel,Individual,Manual,Second Owner,20,Tata
360000,26500,Petrol,Individual,Manual,First Owner,8,Renault
65000,100000,Petrol,Individual,Manual,Second Owner,24,Maruti
685000,72000,Diesel,Dealer,Manual,First Owner,9,Maruti
300000,50000,Petrol,Individual,Manual,First Owner,17,Honda
680000,44000,Diesel,Dealer,Manual,First Owner,9,Hyundai
1000000,60000,Diesel,Individual,Manual,Second Owner,9,Maruti
100000,120000,Diesel,Individual,Manual,First Owner,24,Tata
160000,130000,Diesel,Individual,Manual,First Owner,16,Mahindra
450000,70000,Diesel,Individual,Manual,First Owner,9,Maruti
600000,20000,Petrol,Individual,Manual,First Owner,12,Maruti
180000,60000,Diesel,Individual,Manual,Second Owner,17,Hyundai
100000,195000,Petrol,Individual,Manual,First Owner,19,Maruti
120000,90000,Petrol,Individual,Manual,Second Owner,16,Maruti
130000,80000,Petrol,Individual,Manual,Third Owner,20,Hyundai
160000,155000,Petrol,Individual,Manual,First Owner,15,Maruti
860000,35000,Diesel,Individual,Manual,First Owner,7,Mahindra
650000,20000,Petrol,Individual,Manual,Second Owner,8,Hyundai
100000,80000,Petrol,Individual,Manual,Second Owner,16,Maruti
282000,20000,Petrol,Individual,Manual,First Owner,9,Maruti
300000,50000,Petrol,Individual,Manual,First Owner,17,Hyundai
270000,110000,Petrol,Individual,Manual,Second Owner,16,Hyundai
550000,29000,Diesel,Individual,Manual,First Owner,13,Hyundai
450000,120000,Diesel,Individual,Manual,First Owner,13,Mahindra
430000,70000,Diesel,Individual,Manual,Second Owner,15,Mahindra
350000,40000,Petrol,Individual,Manual,First Owner,13,Maruti
350000,20000,Petrol,Individual,Manual,First Owner,9,Honda
229999,50000,Petrol,Individual,Manual,Second Owner,13,Toyota
110000,50000,Petrol,Individual,Manual,First Owner,13,Maruti
395000,49000,Petrol,Individual,Manual,Second Owner,14,Maruti
650000,70000,Diesel,Individual,Automatic,Second Owner,15,Mahindra
350000,90000,Diesel,Individual,Manual,Second Owner,15,Mahindra
1400000,25000,Diesel,Dealer,Manual,First Owner,6,Mahindra
360000,4000,Petrol,Individual,Manual,First Owner,8,Tata
1300000,10000,Diesel,Individual,Manual,First Owner,8,Mahindra
800000,15000,Diesel,Individual,Manual,First Owner,11,Renault
229999,30000,Petrol,Individual,Manual,First Owner,8,Hyundai
315000,41000,Petrol,Dealer,Manual,First Owner,12,Maruti
125000,28000,Petrol,Individual,Manual,First Owner,14,Chevrolet
700000,16000,Petrol,Individual,Manual,First Owner,7,Maruti
160000,70000,Petrol,Individual,Manual,First Owner,11,Hyundai
530000,10832,Petrol,Dealer,Manual,First Owner,9,Ford
624000,14681,Diesel,Dealer,Manual,First Owner,8,Ford
250000,50000,Petrol,Individual,Manual,First Owner,17,Hyundai
585000,51000,Diesel,Dealer,Manual,First Owner,10,Mahindra
500000,25000,Petrol,Individual,Manual,First Owner,11,Hyundai
350000,30000,Petrol,Individual,Manual,First Owner,12,Chevrolet
495000,80000,Diesel,Dealer,Manual,First Owner,12,Honda
500000,50000,Petrol,Individual,Manual,First Owner,9,Hyundai
430000,200000,Diesel,Individual,Manual,First Owner,11,Mahindra
345000,44000,Petrol,Dealer,Manual,First Owner,13,Hyundai
500000,10000,Petrol,Individual,Manual,First Owner,11,Maruti
425000,19600,Petrol,Individual,Manual,First Owner,7,Tata
80000,40000,Petrol,Individual,Manual,Second Owner,21,Maruti
106000,50000,Diesel,Individual,Manual,First Owner,15,Chevrolet
180000,46730,Petrol,Individual,Manual,First Owner,17,Maruti
250000,40000,Petrol,Individual,Manual,Second Owner,11,Datsun
350000,80000,Diesel,Individual,Manual,First Owner,15,Skoda
60000,80000,Petrol,Individual,Manual,Second Owner,24,Maruti
900000,24000,Diesel,Individual,Manual,First Owner,8,Hyundai
700000,21170,Diesel,Dealer,Manual,First Owner,9,Ford
2000000,167223,Diesel,Dealer,Automatic,First Owner,13,BMW
1000000,40000,Diesel,Individual,Manual,First Owner,9,Maruti
1375000,60000,Diesel,Individual,Automatic,First Owner,15,BMW
1800000,141440,Diesel,Dealer,Manual,First Owner,10,Toyota
160000,120000,Diesel,Individual,Manual,Third Owner,19,Chevrolet
525000,140000,Petrol,Individual,Automatic,First Owner,14,Other
850000,212814,Diesel,Dealer,Manual,First Owner,14,Mahindra
800000,30000,Diesel,Individual,Manual,First Owner,7,Maruti
700000,88635,Diesel,Dealer,Manual,First Owner,9,Ford
800000,25000,Diesel,Individual,Manual,First Owner,8,Maruti
575000,20000,Petrol,Individual,Manual,Second Owner,9,Hyundai
350000,110000,Diesel,Individual,Manual,Second Owner,14,Renault
250000,120000,Diesel,Individual,Manual,Third Owner,18,Maruti
600000,149674,Diesel,Dealer,Manual,Second Owner,15,Ford
370000,100000,Diesel,Individual,Manual,Third Owner,19,Mahindra
80000,120000,Petrol,Individual,Manual,Third Owner,20,Maruti
50000,120000,Diesel,Individual,Manual,Second Owner,23,Tata
900000,25000,Diesel,Individual,Manual,First Owner,8,Hyundai
300000,35000,Petrol,Individual,Manual,Second Owner,12,Maruti
125000,40000,Petrol,Individual,Manual,First Owner,24,Tata
490000,60000,Diesel,Individual,Manual,Second Owner,11,Maruti
300000,50000,Diesel,Individual,Manual,Second Owner,14,Toyota
55000,25000,Petrol,Individual,Manual,Fourth & Above Owner,13,Tata
350000,25000,Petrol,Individual,Manual,First Owner,10,Hyundai
755000,8000,Diesel,Individual,Manual,First Owner,7,Hyundai
720000,60000,Diesel,Individual,Manual,First Owner,9,Maruti
229999,200000,Diesel,Individual,Manual,Third Owner,20,Mahindra
1100000,20000,Diesel,Individual,Manual,First Owner,8,Mahindra
400000,100000,Petrol,Individual,Manual,First Owner,13,Volkswagen
350000,70000,Diesel,Individual,Manual,Second Owner,11,Hyundai
159000,68000,Diesel,Dealer,Manual,First Owner,14,Chevrolet
550000,38000,Petrol,Dealer,Manual,First Owner,9,Maruti
335000,80000,Diesel,Dealer,Manual,First Owner,13,Maruti
185000,72000,CNG,Dealer,Manual,First Owner,12,Tata
229999,75000,CNG,Dealer,Manual,First Owner,14,Maruti
225000,43000,Petrol,Dealer,Manual,First Owner,12,Maruti
250000,120000,Petrol,Individual,Manual,Second Owner,19,Maruti
400000,100000,Diesel,Individual,Manual,First Owner,11,Tata
470000,163000,Diesel,Individual,Manual,First Owner,12,Maruti
300000,25000,Petrol,Individual,Automatic,First Owner,8,Maruti
145000,25000,Petrol,Individual,Manual,First Owner,15,Maruti
100000,90000,Petrol,Individual,Manual,Second Owner,19,Maruti
500000,70000,Diesel,Individual,Manual,Second Owner,12,Mahindra
130000,98000,CNG,Individual,Manual,Second Owner,16,Hyundai
240000,81925,Diesel,Individual,Manual,First Owner,16,Chevrolet
150000,80000,Diesel,Individual,Manual,Second Owner,13,Ford
270000,40000,Petrol,Individual,Manual,First Owner,9,Renault
400000,90000,Diesel,Individual,Manual,First Owner,12,Maruti
200000,46000,Petrol,Individual,Manual,First Owner,14,Hyundai
550000,80000,Diesel,Individual,Manual,First Owner,14,Mahindra
325000,35000,Petrol,Individual,Manual,First Owner,8,Renault
860000,82080,Diesel,Individual,Automatic,First Owner,9,Skoda
600000,200000,Diesel,Individual,Manual,First Owner,14,Mahindra
125000,70000,Petrol,Individual,Manual,First Owner,17,Chevrolet
60000,40000,Petrol,Individual,Manual,Third Owner,26,Maruti
300000,120000,Diesel,Individual,Manual,Third Owner,16,Chevrolet
190000,60000,Petrol,Individual,Manual,Third Owner,19,Ford
400000,110000,Diesel,Individual,Manual,First Owner,13,Maruti
260000,97000,Diesel,Individual,Manual,Second Owner,15,Tata
400000,30000,Petrol,Individual,Manual,First Owner,9,Maruti
250000,40000,Petrol,Individual,Manual,First Owner,16,Hyundai
600000,10000,Petrol,Individual,Manual,First Owner,7,Hyundai
175000,52047,Petrol,Individual,Manual,First Owner,16,Maruti
450000,200000,Diesel,Individual,Manual,Third Owner,15,Toyota
350000,15000,Petrol,Individual,Automatic,Second Owner,7,Tata
800000,50000,Diesel,Individual,Manual,First Owner,8,Maruti
250000,70000,Petrol,Individual,Manual,Second Owner,15,Maruti
600000,10000,Petrol,Individual,Manual,First Owner,7,Maruti
600000,90000,Diesel,Individual,Manual,First Owner,9,Maruti
130000,40000,Petrol,Individual,Manual,First Owner,10,Maruti
90000,62009,Petrol,Individual,Manual,Second Owner,20,Maruti
595000,33100,Petrol,Individual,Manual,Second Owner,9,Hyundai
190000,40000,Petrol,Individual,Manual,Second Owner,12,Hyundai
50000,120000,Petrol,Individual,Manual,Second Owner,27,Hyundai
95000,80000,Petrol,Individual,Manual,First Owner,19,Maruti
1000000,70000,Diesel,Individual,Manual,First Owner,10,Tata
220000,220000,Petrol,Individual,Manual,Second Owner,20,Mahindra
400000,50000,Diesel,Individual,Manual,First Owner,16,Mahindra
315000,45000,Petrol,Individual,Manual,Second Owner,11,Datsun
1000000,110000,Diesel,Individual,Manual,First Owner,12,Toyota
500000,49000,Diesel,Individual,Manual,First Owner,12,Ford
1600000,35000,Diesel,Individual,Automatic,First Owner,8,Mahindra
500000,160000,Diesel,Individual,Manual,First Owner,9,Mahindra
70000,180000,Petrol,Individual,Manual,Third Owner,19,Maruti
105000,60000,Petrol,Individual,Manual,Second Owner,19,Maruti
400000,110000,Diesel,Individual,Manual,Third Owner,18,Ford
80000,60000,Petrol,Individual,Manual,Third Owner,22,Maruti
300000,30000,Petrol,Individual,Manual,First Owner,10,Maruti
409999,40000,Diesel,Individual,Manual,First Owner,9,Mahindra
250000,70000,Petrol,Individual,Manual,First Owner,17,Maruti
250000,120000,Diesel,Individual,Manual,Second Owner,16,Tata
215000,80000,Diesel,Individual,Manual,Third Owner,14,Maruti
1400000,120000,Diesel,Individual,Manual,First Owner,11,Toyota
475000,20000,Petrol,Individual,Manual,First Owner,8,Honda
475000,22000,Petrol,Individual,Manual,First Owner,8,Honda
75000,35000,Petrol,Individual,Manual,Second Owner,18,Chevrolet
200000,120000,Diesel,Individual,Manual,Second Owner,13,Chevrolet
575000,8000,Petrol,Individual,Manual,First Owner,7,Tata
150000,40000,Diesel,Individual,Manual,Second Owner,15,Maruti
850000,10000,Diesel,Individual,Manual,First Owner,8,Maruti
350000,30000,Petrol,Individual,Manual,First Owner,7,Hyundai
550000,54000,Diesel,Individual,Manual,Second Owner,15,Ford
330000,80577,Petrol,Individual,Manual,First Owner,9,Hyundai
1044999,25000,Diesel,Individual,Manual,First Owner,9,Honda
300000,127500,Diesel,Individual,Manual,Second Owner,15,Hyundai
235000,40903,Petrol,Dealer,Manual,First Owner,11,Hyundai
120000,60000,Petrol,Individual,Manual,Third Owner,15,Ford
130000,46000,Petrol,Individual,Manual,First Owner,22,Maruti
275000,22288,Diesel,Dealer,Manual,Second Owner,22,Ford
270000,180000,Diesel,Individual,Manual,Second Owner,15,Volkswagen
500000,30000,Diesel,Individual,Manual,Second Owner,11,Volkswagen
400000,61690,Petrol,Dealer,Manual,First Owner,11,Hyundai
600000,64484,Petrol,Dealer,Manual,First Owner,11,Hyundai
1350000,90000,Diesel,Individual,Automatic,Second Owner,14,Audi
400000,75976,Diesel,Dealer,Manual,Second Owner,13,Renault
220000,70000,Diesel,Individual,Manual,Second Owner,15,Ford
300000,85962,Petrol,Dealer,Manual,Second Owner,14,Honda
250000,120000,Petrol,Individual,Manual,First Owner,8,Maruti
600000,120000,Diesel,Individual,Manual,First Owner,11,Honda
285000,75000,Petrol,Individual,Automatic,Second Owner,14,Honda
350000,57035,Petrol,Dealer,Manual,First Owner,17,Honda
170000,70000,Diesel,Individual,Manual,Third Owner,15,Mahindra
229999,45000,Petrol,Individual,Manual,First Owner,11,Ford
500000,72104,Diesel,Dealer,Manual,Second Owner,13,Mahindra
75000,15000,Petrol,Individual,Manual,First Owner,15,Tata
600000,30000,Petrol,Individual,Manual,First Owner,10,Hyundai
220000,80000,Diesel,Individual,Manual,First Owner,15,Tata
150000,164000,Diesel,Individual,Manual,Second Owner,17,Tata
65000,124439,Petrol,Individual,Manual,Second Owner,20,Maruti
120000,77000,Petrol,Individual,Manual,Second Owner,20,Maruti
240000,90000,Diesel,Individual,Manual,First Owner,12,Maruti
390000,30000,Petrol,Individual,Manual,First Owner,9,Renault
180000,50000,Petrol,Individual,Manual,First Owner,14,Chevrolet
320000,80000,Diesel,Individual,Manual,Second Owner,14,Maruti
310000,5000,Petrol,Individual,Manual,First Owner,8,Maruti
